prompt,prediction,feedback,correction
I want to pick this can.,open_hand,no,tight_grasp
I want to pick this can.,open_hand,no,gentle_grasp
I want to hold this cup.,gentle_grasp,no,pinch_grasp
Can you help me pick this eraser up?,open_hand,no,grasp
I want to hold this card.,gentle_grasp,no,pinch_grasp
I want to hold this can.,grasp,yes,
Do not crush this small whiley bowl.,loosen,no,open_hand
I want to hold this eraser.,gentle_grasp,yes,
I want to release this pen.,open_hand,yes,
Please release my fingers.,open_hand,no,gentle_grasp
